,zipcode,FIPS,gentrification_score
0,79936,48,3.7498165810711526
1,77084,48,0.6795429535755118
2,75070,48,
3,77449,48,1.5120815342377967
4,32162,12,
5,37211,47,0.8144215472354894
6,37013,47,0.5498753936138769
7,28269,37,0.15581513867464747
8,30349,13,0.6932978015541275
9,79912,48,1.3242846661775411
10,21234,24,0.5756791809425306
11,77036,48,0.18547311465846078
12,30044,13,0.9637320315339019
13,78613,48,1.5445744476218572
14,37042,47,0.4485215478934133
15,75287,48,
16,78130,48,1.1415788183378281
17,78521,48,0.6205423795634823
18,30043,13,0.9551068359404167
19,30096,13,0.45118169162021976
20,23464,51,1.8842607725763099
21,73099,40,1.0084691997138575
22,28277,37,1.5261367923595057
23,75243,48,
24,33160,12,0.9741427440420942
25,33139,12,0.9976777052952126
26,77379,48,0.15008719536393417
27,33411,12,0.6684806075186834
28,75067,48,
29,23462,51,2.1186050109416277
30,78704,48,1.7240317513240409
31,78745,48,1.0801549095292446
32,30024,13,0.7456596084313847
33,32210,12,-0.18825516679789714
34,33025,12,0.7953647464485339
35,30281,13,0.07297068130416784
36,78240,48,1.045896391790592
37,77433,48,2.4093933130607796
38,33009,12,0.504539868106436
39,78245,48,1.135502683783886
40,33024,12,1.2741038651066767
41,20906,24,0.22291526180905324
42,37075,47,0.5773775099156029
43,28027,37,1.3920958895978826
44,75034,48,
45,27410,37,0.3680155357435587
46,76028,48,
47,33908,12,1.2149131487647555
48,33647,12,2.233091607486656
49,28314,37,-4.0241260462826265
50,40475,21,1.3650947919501348
51,27406,37,0.6772964491530457
52,29732,45,0.033596955583790215
53,27610,37,0.6415763029875623
54,21740,24,0.7756243044736268
55,77095,48,0.16075144501434252
56,32822,12,0.2823582878812318
57,22191,51,0.684830475357253
58,30062,13,1.6544346414935291
59,33012,12,-0.35711745553643964
60,23454,51,2.9182908601841984
61,74012,40,1.2697483188430272
62,21117,24,0.18243543538690138
63,32244,12,0.41139353805360857
64,33186,12,0.1379207201386145
65,76063,48,
66,23320,51,0.9823761175557643
67,22193,51,0.5679553166573542
68,75217,48,
69,22304,51,0.5429961918573105
70,30331,13,0.0327452115894221
71,20878,24,0.9697417995094383
72,30080,13,2.816393513348476
73,33311,12,0.5680550275131425
74,30188,13,1.2327160073873378
75,37130,47,0.8497277542025007
76,32256,12,0.8689413364021192
77,33027,12,0.4473104436927986
78,23666,51,-0.7215711031207968
79,30022,13,0.3292840158432796
80,33064,12,1.1829607077071806
81,34135,12,2.161038605723335
82,30040,13,2.119508241060776
83,79938,48,11.816581071166528
84,32218,12,0.3601744362116655
85,77845,48,0.7229547282207534
86,33063,12,-0.0007308994177992223
87,23452,51,1.928626145627213
88,30052,13,0.42606939648520725
89,27587,37,1.0240373537564729
90,33313,12,0.2362266918325373
91,34711,12,0.8692206117128116
92,71913,5,0.4049928527670005
93,38401,47,0.8067009227805286
94,32174,12,1.7601444476518797
95,30041,13,2.721058386832887
96,30318,13,1.4698707216258773
97,21215,24,0.3267179520330982
98,72401,5,2.026610558996757
99,20147,51,0.5603053062697245
100,40601,21,1.4004705546841583
101,34953,12,1.7579141110300718
102,78501,48,
103,35242,1,-0.5076554603498608
104,75056,48,
105,29072,45,1.2057337849231051
106,27713,37,1.6185477499642087
107,23223,51,0.3738738712859503
108,32225,12,1.3236357028931394
109,23451,51,2.7706175470290395
110,28078,37,1.495900786549584
111,32828,12,0.9050446159422667
112,76116,48,
113,33321,12,0.6589789150872983
114,19720,10,21.68811560859873
115,30135,13,1.9248688714733035
116,22204,51,0.7573510283753373
117,30127,13,1.1255498603674075
118,21122,24,0.6030847986295175
119,27707,37,0.7428286239972007
120,21222,24,0.5314003006012019
121,20874,24,0.21642111800296293
122,33319,12,1.0372193637981222
123,77840,48,0.5657191909234767
